route_id,osm_route_id_to,osm_route_id_return
319,2089834,2089835
395,3195283,3177671
416,,2168842
315,2521698,2521697
311,,2082735
265,2236713,2236714
307,,2134659
314,2521696,2345925
211,,2531488
236,,2660043
320,2307760,2307759
411,,2425100
241,3369352,3121454
365,3277747,3277748
382,3231896,3231897
407,,2368621
410,2364754,2364755
329,2313195,
331,2314671,
223,3372958,
295,3372985,3372984
321,2737709,
332,,3211256
339,3373025,
259,3373037,
368,,3110136
222,,1770836
264,2135778,2135777
383,,3316375
228,3115537,3115538
390,2163894,2163893
287,3403655,3403654
266,2790253,2790252
406,3117522,2234308
224,2222978,3404020
371,2079722,2079727
322,2940034,3404053
335,,2260426
306,,2372197
220,1864107,1864109
243,3289816,3289817
347,2291868,2291869
280,2790254,2790255
267,1864110,1864108
370,3328625,3328626
393,,3316427
333,,2506809
209,2351080,3414431
349,2661768,2661769
293,,2361104
260,3414496,2403619
283,3221719,3221720
