trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
6057,00:10:00,00:10:00,1681023453,0,,,,,
6057,,,1681023446,1,,,,,
6057,,,1681023391,2,,,,,
6057,,,1681023434,3,,,,,
6057,,,1681023431,4,,,,,
6057,,,1681023422,5,,,,,
6057,,,1681023388,6,,,,,
6057,,,1681023384,7,,,,,
6057,,,1681023413,8,,,,,
6057,,,1681023380,9,,,,,
6057,,,1681023394,10,,,,,
6057,,,1681023398,11,,,,,
6057,,,1681023420,12,,,,,
6057,,,1681023441,13,,,,,
6057,,,1681023417,14,,,,,
6057,,,1681023451,15,,,,,
6057,,,1681023443,16,,,,,
6057,,,1681023435,17,,,,,
6057,,,1681023450,18,,,,,
6057,,,1681023419,19,,,,,
6057,,,1681023382,20,,,,,
6057,,,1681023395,21,,,,,
6057,,,1681023426,22,,,,,
6057,,,1681023393,23,,,,,
6057,,,1681023427,24,,,,,
6057,,,1659743407,25,,,,,
6057,,,1668994834,26,,,,,
6057,,,1668994869,27,,,,,
6057,,,1553180791,28,,,,,
6057,00:42:00,00:42:00,141901565,29,,,,,
6058,05:10:00,05:10:00,1681023453,0,,,,,
6058,,,1681023446,1,,,,,
6058,,,1681023391,2,,,,,
6058,,,1681023434,3,,,,,
6058,,,1681023431,4,,,,,
6058,,,1681023422,5,,,,,
6058,,,1681023388,6,,,,,
6058,,,1681023384,7,,,,,
6058,,,1681023413,8,,,,,
6058,,,1681023380,9,,,,,
6058,,,1681023394,10,,,,,
6058,,,1681023398,11,,,,,
6058,,,1681023420,12,,,,,
6058,,,1681023441,13,,,,,
6058,,,1681023417,14,,,,,
6058,,,1681023451,15,,,,,
6058,,,1681023443,16,,,,,
6058,,,1681023435,17,,,,,
6058,,,1681023450,18,,,,,
6058,,,1681023419,19,,,,,
6058,,,1681023382,20,,,,,
6058,,,1681023395,21,,,,,
6058,,,1681023426,22,,,,,
6058,,,1681023393,23,,,,,
6058,,,1681023427,24,,,,,
6058,,,1659743407,25,,,,,
6058,,,1668994834,26,,,,,
6058,,,1668994869,27,,,,,
6058,,,1553180791,28,,,,,
6058,05:42:00,05:42:00,141901565,29,,,,,
6059,05:55:00,05:55:00,1681023453,0,,,,,
6059,,,1681023446,1,,,,,
6059,,,1681023391,2,,,,,
6059,,,1681023434,3,,,,,
6059,,,1681023431,4,,,,,
6059,,,1681023422,5,,,,,
6059,,,1681023388,6,,,,,
6059,,,1681023384,7,,,,,
6059,,,1681023413,8,,,,,
6059,,,1681023380,9,,,,,
6059,,,1681023394,10,,,,,
6059,,,1681023398,11,,,,,
6059,,,1681023420,12,,,,,
6059,,,1681023441,13,,,,,
6059,,,1681023417,14,,,,,
6059,,,1681023451,15,,,,,
6059,,,1681023443,16,,,,,
6059,,,1681023435,17,,,,,
6059,,,1681023450,18,,,,,
6059,,,1681023419,19,,,,,
6059,,,1681023382,20,,,,,
6059,,,1681023395,21,,,,,
6059,,,1681023426,22,,,,,
6059,,,1681023393,23,,,,,
6059,,,1681023427,24,,,,,
6059,,,1659743407,25,,,,,
6059,,,1668994834,26,,,,,
6059,,,1668994869,27,,,,,
6059,,,1553180791,28,,,,,
6059,06:27:00,06:27:00,141901565,29,,,,,
6060,06:13:00,06:13:00,1681023453,0,,,,,
6060,,,1681023446,1,,,,,
6060,,,1681023391,2,,,,,
6060,,,1681023434,3,,,,,
6060,,,1681023431,4,,,,,
6060,,,1681023422,5,,,,,
6060,,,1681023388,6,,,,,
6060,,,1681023384,7,,,,,
6060,,,1681023413,8,,,,,
6060,,,1681023380,9,,,,,
6060,,,1681023394,10,,,,,
6060,,,1681023398,11,,,,,
6060,,,1681023420,12,,,,,
6060,,,1681023441,13,,,,,
6060,,,1681023417,14,,,,,
6060,,,1681023451,15,,,,,
6060,,,1681023443,16,,,,,
6060,,,1681023435,17,,,,,
6060,,,1681023450,18,,,,,
6060,,,1681023419,19,,,,,
6060,,,1681023382,20,,,,,
6060,,,1681023395,21,,,,,
6060,,,1681023426,22,,,,,
6060,,,1681023393,23,,,,,
6060,,,1681023427,24,,,,,
6060,,,1659743407,25,,,,,
6060,,,1668994834,26,,,,,
6060,,,1668994869,27,,,,,
6060,,,1553180791,28,,,,,
6060,06:45:00,06:45:00,141901565,29,,,,,
6061,06:30:00,06:30:00,1681023453,0,,,,,
6061,,,1681023446,1,,,,,
6061,,,1681023391,2,,,,,
6061,,,1681023434,3,,,,,
6061,,,1681023431,4,,,,,
6061,,,1681023422,5,,,,,
6061,,,1681023388,6,,,,,
6061,,,1681023384,7,,,,,
6061,,,1681023413,8,,,,,
6061,,,1681023380,9,,,,,
6061,,,1681023394,10,,,,,
6061,,,1681023398,11,,,,,
6061,,,1681023420,12,,,,,
6061,,,1681023441,13,,,,,
6061,,,1681023417,14,,,,,
6061,,,1681023451,15,,,,,
6061,,,1681023443,16,,,,,
6061,,,1681023435,17,,,,,
6061,,,1681023450,18,,,,,
6061,,,1681023419,19,,,,,
6061,,,1681023382,20,,,,,
6061,,,1681023395,21,,,,,
6061,,,1681023426,22,,,,,
6061,,,1681023393,23,,,,,
6061,,,1681023427,24,,,,,
6061,,,1659743407,25,,,,,
6061,,,1668994834,26,,,,,
6061,,,1668994869,27,,,,,
6061,,,1553180791,28,,,,,
6061,07:02:00,07:02:00,141901565,29,,,,,
6062,06:40:00,06:40:00,1681023453,0,,,,,
6062,,,1681023446,1,,,,,
6062,,,1681023391,2,,,,,
6062,,,1681023434,3,,,,,
6062,,,1681023431,4,,,,,
6062,,,1681023422,5,,,,,
6062,,,1681023388,6,,,,,
6062,,,1681023384,7,,,,,
6062,,,1681023413,8,,,,,
6062,,,1681023380,9,,,,,
6062,,,1681023394,10,,,,,
6062,,,1681023398,11,,,,,
6062,,,1681023420,12,,,,,
6062,,,1681023441,13,,,,,
6062,,,1681023417,14,,,,,
6062,,,1681023451,15,,,,,
6062,,,1681023443,16,,,,,
6062,,,1681023435,17,,,,,
6062,,,1681023450,18,,,,,
6062,,,1681023419,19,,,,,
6062,,,1681023382,20,,,,,
6062,,,1681023395,21,,,,,
6062,,,1681023426,22,,,,,
6062,,,1681023393,23,,,,,
6062,,,1681023427,24,,,,,
6062,,,1659743407,25,,,,,
6062,,,1668994834,26,,,,,
6062,,,1668994869,27,,,,,
6062,,,1553180791,28,,,,,
6062,07:12:00,07:12:00,141901565,29,,,,,
6063,06:59:00,06:59:00,1681023453,0,,,,,
6063,,,1681023446,1,,,,,
6063,,,1681023391,2,,,,,
6063,,,1681023434,3,,,,,
6063,,,1681023431,4,,,,,
6063,,,1681023422,5,,,,,
6063,,,1681023388,6,,,,,
6063,,,1681023384,7,,,,,
6063,,,1681023413,8,,,,,
6063,,,1681023380,9,,,,,
6063,,,1681023394,10,,,,,
6063,,,1681023398,11,,,,,
6063,,,1681023420,12,,,,,
6063,,,1681023441,13,,,,,
6063,,,1681023417,14,,,,,
6063,,,1681023451,15,,,,,
6063,,,1681023443,16,,,,,
6063,,,1681023435,17,,,,,
6063,,,1681023450,18,,,,,
6063,,,1681023419,19,,,,,
6063,,,1681023382,20,,,,,
6063,,,1681023395,21,,,,,
6063,,,1681023426,22,,,,,
6063,,,1681023393,23,,,,,
6063,,,1681023427,24,,,,,
6063,,,1659743407,25,,,,,
6063,,,1668994834,26,,,,,
6063,,,1668994869,27,,,,,
6063,,,1553180791,28,,,,,
6063,07:31:00,07:31:00,141901565,29,,,,,
6064,07:11:00,07:11:00,1681023453,0,,,,,
6064,,,1681023446,1,,,,,
6064,,,1681023391,2,,,,,
6064,,,1681023434,3,,,,,
6064,,,1681023431,4,,,,,
6064,,,1681023422,5,,,,,
6064,,,1681023388,6,,,,,
6064,,,1681023384,7,,,,,
6064,,,1681023413,8,,,,,
6064,,,1681023380,9,,,,,
6064,,,1681023394,10,,,,,
6064,,,1681023398,11,,,,,
6064,,,1681023420,12,,,,,
6064,,,1681023441,13,,,,,
6064,,,1681023417,14,,,,,
6064,,,1681023451,15,,,,,
6064,,,1681023443,16,,,,,
6064,,,1681023435,17,,,,,
6064,,,1681023450,18,,,,,
6064,,,1681023419,19,,,,,
6064,,,1681023382,20,,,,,
6064,,,1681023395,21,,,,,
6064,,,1681023426,22,,,,,
6064,,,1681023393,23,,,,,
6064,,,1681023427,24,,,,,
6064,,,1659743407,25,,,,,
6064,,,1668994834,26,,,,,
6064,,,1668994869,27,,,,,
6064,,,1553180791,28,,,,,
6064,07:43:00,07:43:00,141901565,29,,,,,
6065,07:29:00,07:29:00,1681023453,0,,,,,
6065,,,1681023446,1,,,,,
6065,,,1681023391,2,,,,,
6065,,,1681023434,3,,,,,
6065,,,1681023431,4,,,,,
6065,,,1681023422,5,,,,,
6065,,,1681023388,6,,,,,
6065,,,1681023384,7,,,,,
6065,,,1681023413,8,,,,,
6065,,,1681023380,9,,,,,
6065,,,1681023394,10,,,,,
6065,,,1681023398,11,,,,,
6065,,,1681023420,12,,,,,
6065,,,1681023441,13,,,,,
6065,,,1681023417,14,,,,,
6065,,,1681023451,15,,,,,
6065,,,1681023443,16,,,,,
6065,,,1681023435,17,,,,,
6065,,,1681023450,18,,,,,
6065,,,1681023419,19,,,,,
6065,,,1681023382,20,,,,,
6065,,,1681023395,21,,,,,
6065,,,1681023426,22,,,,,
6065,,,1681023393,23,,,,,
6065,,,1681023427,24,,,,,
6065,,,1659743407,25,,,,,
6065,,,1668994834,26,,,,,
6065,,,1668994869,27,,,,,
6065,,,1553180791,28,,,,,
6065,08:01:00,08:01:00,141901565,29,,,,,
6066,07:53:00,07:53:00,1681023453,0,,,,,
6066,,,1681023446,1,,,,,
6066,,,1681023391,2,,,,,
6066,,,1681023434,3,,,,,
6066,,,1681023431,4,,,,,
6066,,,1681023422,5,,,,,
6066,,,1681023388,6,,,,,
6066,,,1681023384,7,,,,,
6066,,,1681023413,8,,,,,
6066,,,1681023380,9,,,,,
6066,,,1681023394,10,,,,,
6066,,,1681023398,11,,,,,
6066,,,1681023420,12,,,,,
6066,,,1681023441,13,,,,,
6066,,,1681023417,14,,,,,
6066,,,1681023451,15,,,,,
6066,,,1681023443,16,,,,,
6066,,,1681023435,17,,,,,
6066,,,1681023450,18,,,,,
6066,,,1681023419,19,,,,,
6066,,,1681023382,20,,,,,
6066,,,1681023395,21,,,,,
6066,,,1681023426,22,,,,,
6066,,,1681023393,23,,,,,
6066,,,1681023427,24,,,,,
6066,,,1659743407,25,,,,,
6066,,,1668994834,26,,,,,
6066,,,1668994869,27,,,,,
6066,,,1553180791,28,,,,,
6066,08:25:00,08:25:00,141901565,29,,,,,
6067,07:56:00,07:56:00,1681023453,0,,,,,
6067,,,1681023446,1,,,,,
6067,,,1681023391,2,,,,,
6067,,,1681023434,3,,,,,
6067,,,1681023431,4,,,,,
6067,,,1681023422,5,,,,,
6067,,,1681023388,6,,,,,
6067,,,1681023384,7,,,,,
6067,,,1681023413,8,,,,,
6067,,,1681023380,9,,,,,
6067,,,1681023394,10,,,,,
6067,,,1681023398,11,,,,,
6067,,,1681023420,12,,,,,
6067,,,1681023441,13,,,,,
6067,,,1681023417,14,,,,,
6067,,,1681023451,15,,,,,
6067,,,1681023443,16,,,,,
6067,,,1681023435,17,,,,,
6067,,,1681023450,18,,,,,
6067,,,1681023419,19,,,,,
6067,,,1681023382,20,,,,,
6067,,,1681023395,21,,,,,
6067,,,1681023426,22,,,,,
6067,,,1681023393,23,,,,,
6067,,,1681023427,24,,,,,
6067,,,1659743407,25,,,,,
6067,,,1668994834,26,,,,,
6067,,,1668994869,27,,,,,
6067,,,1553180791,28,,,,,
6067,08:28:00,08:28:00,141901565,29,,,,,
6068,08:19:00,08:19:00,1681023453,0,,,,,
6068,,,1681023446,1,,,,,
6068,,,1681023391,2,,,,,
6068,,,1681023434,3,,,,,
6068,,,1681023431,4,,,,,
6068,,,1681023422,5,,,,,
6068,,,1681023388,6,,,,,
6068,,,1681023384,7,,,,,
6068,,,1681023413,8,,,,,
6068,,,1681023380,9,,,,,
6068,,,1681023394,10,,,,,
6068,,,1681023398,11,,,,,
6068,,,1681023420,12,,,,,
6068,,,1681023441,13,,,,,
6068,,,1681023417,14,,,,,
6068,,,1681023451,15,,,,,
6068,,,1681023443,16,,,,,
6068,,,1681023435,17,,,,,
6068,,,1681023450,18,,,,,
6068,,,1681023419,19,,,,,
6068,,,1681023382,20,,,,,
6068,,,1681023395,21,,,,,
6068,,,1681023426,22,,,,,
6068,,,1681023393,23,,,,,
6068,,,1681023427,24,,,,,
6068,,,1659743407,25,,,,,
6068,,,1668994834,26,,,,,
6068,,,1668994869,27,,,,,
6068,,,1553180791,28,,,,,
6068,08:51:00,08:51:00,141901565,29,,,,,
6069,08:49:00,08:49:00,1681023453,0,,,,,
6069,,,1681023446,1,,,,,
6069,,,1681023391,2,,,,,
6069,,,1681023434,3,,,,,
6069,,,1681023431,4,,,,,
6069,,,1681023422,5,,,,,
6069,,,1681023388,6,,,,,
6069,,,1681023384,7,,,,,
6069,,,1681023413,8,,,,,
6069,,,1681023380,9,,,,,
6069,,,1681023394,10,,,,,
6069,,,1681023398,11,,,,,
6069,,,1681023420,12,,,,,
6069,,,1681023441,13,,,,,
6069,,,1681023417,14,,,,,
6069,,,1681023451,15,,,,,
6069,,,1681023443,16,,,,,
6069,,,1681023435,17,,,,,
6069,,,1681023450,18,,,,,
6069,,,1681023419,19,,,,,
6069,,,1681023382,20,,,,,
6069,,,1681023395,21,,,,,
6069,,,1681023426,22,,,,,
6069,,,1681023393,23,,,,,
6069,,,1681023427,24,,,,,
6069,,,1659743407,25,,,,,
6069,,,1668994834,26,,,,,
6069,,,1668994869,27,,,,,
6069,,,1553180791,28,,,,,
6069,09:21:00,09:21:00,141901565,29,,,,,
6070,09:10:00,09:10:00,1681023453,0,,,,,
6070,,,1681023446,1,,,,,
6070,,,1681023391,2,,,,,
6070,,,1681023434,3,,,,,
6070,,,1681023431,4,,,,,
6070,,,1681023422,5,,,,,
6070,,,1681023388,6,,,,,
6070,,,1681023384,7,,,,,
6070,,,1681023413,8,,,,,
6070,,,1681023380,9,,,,,
6070,,,1681023394,10,,,,,
6070,,,1681023398,11,,,,,
6070,,,1681023420,12,,,,,
6070,,,1681023441,13,,,,,
6070,,,1681023417,14,,,,,
6070,,,1681023451,15,,,,,
6070,,,1681023443,16,,,,,
6070,,,1681023435,17,,,,,
6070,,,1681023450,18,,,,,
6070,,,1681023419,19,,,,,
6070,,,1681023382,20,,,,,
6070,,,1681023395,21,,,,,
6070,,,1681023426,22,,,,,
6070,,,1681023393,23,,,,,
6070,,,1681023427,24,,,,,
6070,,,1659743407,25,,,,,
6070,,,1668994834,26,,,,,
6070,,,1668994869,27,,,,,
6070,,,1553180791,28,,,,,
6070,09:42:00,09:42:00,141901565,29,,,,,
6071,09:25:00,09:25:00,1681023453,0,,,,,
6071,,,1681023446,1,,,,,
6071,,,1681023391,2,,,,,
6071,,,1681023434,3,,,,,
6071,,,1681023431,4,,,,,
6071,,,1681023422,5,,,,,
6071,,,1681023388,6,,,,,
6071,,,1681023384,7,,,,,
6071,,,1681023413,8,,,,,
6071,,,1681023380,9,,,,,
6071,,,1681023394,10,,,,,
6071,,,1681023398,11,,,,,
6071,,,1681023420,12,,,,,
6071,,,1681023441,13,,,,,
6071,,,1681023417,14,,,,,
6071,,,1681023451,15,,,,,
6071,,,1681023443,16,,,,,
6071,,,1681023435,17,,,,,
6071,,,1681023450,18,,,,,
6071,,,1681023419,19,,,,,
6071,,,1681023382,20,,,,,
6071,,,1681023395,21,,,,,
6071,,,1681023426,22,,,,,
6071,,,1681023393,23,,,,,
6071,,,1681023427,24,,,,,
6071,,,1659743407,25,,,,,
6071,,,1668994834,26,,,,,
6071,,,1668994869,27,,,,,
6071,,,1553180791,28,,,,,
6071,09:57:00,09:57:00,141901565,29,,,,,
6072,09:55:00,09:55:00,1681023453,0,,,,,
6072,,,1681023446,1,,,,,
6072,,,1681023391,2,,,,,
6072,,,1681023434,3,,,,,
6072,,,1681023431,4,,,,,
6072,,,1681023422,5,,,,,
6072,,,1681023388,6,,,,,
6072,,,1681023384,7,,,,,
6072,,,1681023413,8,,,,,
6072,,,1681023380,9,,,,,
6072,,,1681023394,10,,,,,
6072,,,1681023398,11,,,,,
6072,,,1681023420,12,,,,,
6072,,,1681023441,13,,,,,
6072,,,1681023417,14,,,,,
6072,,,1681023451,15,,,,,
6072,,,1681023443,16,,,,,
6072,,,1681023435,17,,,,,
6072,,,1681023450,18,,,,,
6072,,,1681023419,19,,,,,
6072,,,1681023382,20,,,,,
6072,,,1681023395,21,,,,,
6072,,,1681023426,22,,,,,
6072,,,1681023393,23,,,,,
6072,,,1681023427,24,,,,,
6072,,,1659743407,25,,,,,
6072,,,1668994834,26,,,,,
6072,,,1668994869,27,,,,,
6072,,,1553180791,28,,,,,
6072,10:27:00,10:27:00,141901565,29,,,,,
6073,10:20:00,10:20:00,1681023453,0,,,,,
6073,,,1681023446,1,,,,,
6073,,,1681023391,2,,,,,
6073,,,1681023434,3,,,,,
6073,,,1681023431,4,,,,,
6073,,,1681023422,5,,,,,
6073,,,1681023388,6,,,,,
6073,,,1681023384,7,,,,,
6073,,,1681023413,8,,,,,
6073,,,1681023380,9,,,,,
6073,,,1681023394,10,,,,,
6073,,,1681023398,11,,,,,
6073,,,1681023420,12,,,,,
6073,,,1681023441,13,,,,,
6073,,,1681023417,14,,,,,
6073,,,1681023451,15,,,,,
6073,,,1681023443,16,,,,,
6073,,,1681023435,17,,,,,
6073,,,1681023450,18,,,,,
6073,,,1681023419,19,,,,,
6073,,,1681023382,20,,,,,
6073,,,1681023395,21,,,,,
6073,,,1681023426,22,,,,,
6073,,,1681023393,23,,,,,
6073,,,1681023427,24,,,,,
6073,,,1659743407,25,,,,,
6073,,,1668994834,26,,,,,
6073,,,1668994869,27,,,,,
6073,,,1553180791,28,,,,,
6073,10:52:00,10:52:00,141901565,29,,,,,
6074,10:52:00,10:52:00,1681023453,0,,,,,
6074,,,1681023446,1,,,,,
6074,,,1681023391,2,,,,,
6074,,,1681023434,3,,,,,
6074,,,1681023431,4,,,,,
6074,,,1681023422,5,,,,,
6074,,,1681023388,6,,,,,
6074,,,1681023384,7,,,,,
6074,,,1681023413,8,,,,,
6074,,,1681023380,9,,,,,
6074,,,1681023394,10,,,,,
6074,,,1681023398,11,,,,,
6074,,,1681023420,12,,,,,
6074,,,1681023441,13,,,,,
6074,,,1681023417,14,,,,,
6074,,,1681023451,15,,,,,
6074,,,1681023443,16,,,,,
6074,,,1681023435,17,,,,,
6074,,,1681023450,18,,,,,
6074,,,1681023419,19,,,,,
6074,,,1681023382,20,,,,,
6074,,,1681023395,21,,,,,
6074,,,1681023426,22,,,,,
6074,,,1681023393,23,,,,,
6074,,,1681023427,24,,,,,
6074,,,1659743407,25,,,,,
6074,,,1668994834,26,,,,,
6074,,,1668994869,27,,,,,
6074,,,1553180791,28,,,,,
6074,11:24:00,11:24:00,141901565,29,,,,,
6075,11:17:00,11:17:00,1681023453,0,,,,,
6075,,,1681023446,1,,,,,
6075,,,1681023391,2,,,,,
6075,,,1681023434,3,,,,,
6075,,,1681023431,4,,,,,
6075,,,1681023422,5,,,,,
6075,,,1681023388,6,,,,,
6075,,,1681023384,7,,,,,
6075,,,1681023413,8,,,,,
6075,,,1681023380,9,,,,,
6075,,,1681023394,10,,,,,
6075,,,1681023398,11,,,,,
6075,,,1681023420,12,,,,,
6075,,,1681023441,13,,,,,
6075,,,1681023417,14,,,,,
6075,,,1681023451,15,,,,,
6075,,,1681023443,16,,,,,
6075,,,1681023435,17,,,,,
6075,,,1681023450,18,,,,,
6075,,,1681023419,19,,,,,
6075,,,1681023382,20,,,,,
6075,,,1681023395,21,,,,,
6075,,,1681023426,22,,,,,
6075,,,1681023393,23,,,,,
6075,,,1681023427,24,,,,,
6075,,,1659743407,25,,,,,
6075,,,1668994834,26,,,,,
6075,,,1668994869,27,,,,,
6075,,,1553180791,28,,,,,
6075,11:49:00,11:49:00,141901565,29,,,,,
6076,11:40:00,11:40:00,1681023453,0,,,,,
6076,,,1681023446,1,,,,,
6076,,,1681023391,2,,,,,
6076,,,1681023434,3,,,,,
6076,,,1681023431,4,,,,,
6076,,,1681023422,5,,,,,
6076,,,1681023388,6,,,,,
6076,,,1681023384,7,,,,,
6076,,,1681023413,8,,,,,
6076,,,1681023380,9,,,,,
6076,,,1681023394,10,,,,,
6076,,,1681023398,11,,,,,
6076,,,1681023420,12,,,,,
6076,,,1681023441,13,,,,,
6076,,,1681023417,14,,,,,
6076,,,1681023451,15,,,,,
6076,,,1681023443,16,,,,,
6076,,,1681023435,17,,,,,
6076,,,1681023450,18,,,,,
6076,,,1681023419,19,,,,,
6076,,,1681023382,20,,,,,
6076,,,1681023395,21,,,,,
6076,,,1681023426,22,,,,,
6076,,,1681023393,23,,,,,
6076,,,1681023427,24,,,,,
6076,,,1659743407,25,,,,,
6076,,,1668994834,26,,,,,
6076,,,1668994869,27,,,,,
6076,,,1553180791,28,,,,,
6076,12:12:00,12:12:00,141901565,29,,,,,
6077,11:47:00,11:47:00,1681023453,0,,,,,
6077,,,1681023446,1,,,,,
6077,,,1681023391,2,,,,,
6077,,,1681023434,3,,,,,
6077,,,1681023431,4,,,,,
6077,,,1681023422,5,,,,,
6077,,,1681023388,6,,,,,
6077,,,1681023384,7,,,,,
6077,,,1681023413,8,,,,,
6077,,,1681023380,9,,,,,
6077,,,1681023394,10,,,,,
6077,,,1681023398,11,,,,,
6077,,,1681023420,12,,,,,
6077,,,1681023441,13,,,,,
6077,,,1681023417,14,,,,,
6077,,,1681023451,15,,,,,
6077,,,1681023443,16,,,,,
6077,,,1681023435,17,,,,,
6077,,,1681023450,18,,,,,
6077,,,1681023419,19,,,,,
6077,,,1681023382,20,,,,,
6077,,,1681023395,21,,,,,
6077,,,1681023426,22,,,,,
6077,,,1681023393,23,,,,,
6077,,,1681023427,24,,,,,
6077,,,1659743407,25,,,,,
6077,,,1668994834,26,,,,,
6077,,,1668994869,27,,,,,
6077,,,1553180791,28,,,,,
6077,12:19:00,12:19:00,141901565,29,,,,,
6078,00:03:00,00:03:00,1681023453,0,,,,,
6078,,,1681023446,1,,,,,
6078,,,1681023391,2,,,,,
6078,,,1681023434,3,,,,,
6078,,,1681023431,4,,,,,
6078,,,1681023422,5,,,,,
