shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2521698,-27.5832539,-48.5233822,0,
2521698,-27.5832344,-48.5234369,1,
2521698,-27.5831826,-48.5235683,2,
2521698,-27.5831826,-48.5235683,3,
2521698,-27.5831341,-48.5235899,4,
2521698,-27.5830795,-48.5236142,5,
2521698,-27.5827345,-48.5237495,6,
2521698,-27.582661,-48.5238069,7,
2521698,-27.5826116,-48.5239049,8,
2521698,-27.5826208,-48.5240167,9,
2521698,-27.5826208,-48.5240167,10,
2521698,-27.582703,-48.5240944,11,
2521698,-27.582847,-48.5242126,12,
2521698,-27.5839799,-48.5252453,13,
2521698,-27.5840086,-48.5252719,14,
2521698,-27.5840086,-48.5252719,15,
2521698,-27.5837635,-48.525462,16,
2521698,-27.5836639,-48.5256037,17,
2521698,-27.5835803,-48.5256738,18,
2521698,-27.5832405,-48.5258848,19,
2521698,-27.5829347,-48.526046,20,
2521698,-27.5828827,-48.5260661,21,
2521698,-27.5828383,-48.5260832,22,
2521698,-27.5826802,-48.5261559,23,
2521698,-27.5826005,-48.5261925,24,
2521698,-27.5821584,-48.5263594,25,
2521698,-27.5820438,-48.5264071,26,
2521698,-27.5819404,-48.5264465,27,
2521698,-27.5811542,-48.5266983,28,
2521698,-27.5808096,-48.5266213,29,
2521698,-27.5804677,-48.526484,30,
2521698,-27.5804168,-48.5264635,31,
2521698,-27.5797954,-48.5262346,32,
2521698,-27.5797954,-48.5262346,33,
2521698,-27.5797181,-48.5261608,34,
2521698,-27.5796503,-48.5260576,35,
2521698,-27.5795941,-48.5259129,36,
2521698,-27.5795941,-48.5259129,37,
2521698,-27.5795568,-48.5258683,38,
2521698,-27.5795177,-48.5258364,39,
2521698,-27.5794626,-48.5258168,40,
2521698,-27.5794141,-48.5258048,41,
2521698,-27.579369,-48.5258068,42,
2521698,-27.5792884,-48.5258329,43,
2521698,-27.5792884,-48.5258329,44,
2521698,-27.5792054,-48.5258881,45,
2521698,-27.5790925,-48.5259437,46,
2521698,-27.5788816,-48.5260275,47,
2521698,-27.5788816,-48.5260275,48,
2521698,-27.5787883,-48.5260527,49,
2521698,-27.5786943,-48.5260963,50,
2521698,-27.5786137,-48.5261458,51,
2521698,-27.5779128,-48.5266524,52,
2521698,-27.5778155,-48.5267201,53,
2521698,-27.5777445,-48.5267694,54,
2521698,-27.5773933,-48.5270482,55,
2521698,-27.5771663,-48.5272813,56,
2521698,-27.5771317,-48.5273461,57,
2521698,-27.5770386,-48.5275484,58,
2521698,-27.5770586,-48.5278006,59,
2521698,-27.577065,-48.5278809,60,
2521698,-27.5771253,-48.528249,61,
2521698,-27.5771362,-48.5283158,62,
2521698,-27.5771428,-48.5286173,63,
2521698,-27.5770605,-48.5289197,64,
2521698,-27.5770243,-48.5290119,65,
2521698,-27.5770097,-48.5290469,66,
2521698,-27.5769881,-48.529094,67,
2521698,-27.5769121,-48.5292771,68,
2521698,-27.5766645,-48.5296497,69,
2521698,-27.5766381,-48.5296894,70,
2521698,-27.576569,-48.5297534,71,
2521698,-27.576265,-48.530035,72,
2521698,-27.5760369,-48.5301389,73,
2521698,-27.57582,-48.5302855,74,
2521698,-27.5756609,-48.5304569,75,
2521698,-27.5752924,-48.5313304,76,
2521698,-27.5752924,-48.5313304,77,
2521698,-27.5749605,-48.5319114,78,
2521698,-27.574883,-48.5320995,79,
2521698,-27.574841,-48.5322016,80,
2521698,-27.5740816,-48.534046,81,
2521698,-27.5740613,-48.5341008,82,
2521698,-27.5740613,-48.5341008,83,
2521698,-27.5739855,-48.5343052,84,
2521698,-27.5739496,-48.5344955,85,
2521698,-27.5739407,-48.5347561,86,
2521698,-27.5739498,-48.5350151,87,
2521698,-27.5740214,-48.5352551,88,
2521698,-27.5740214,-48.5352551,89,
2521698,-27.5740471,-48.5353216,90,
2521698,-27.5740923,-48.535402,91,
2521698,-27.5742038,-48.5355782,92,
2521698,-27.5742038,-48.5355782,93,
2521698,-27.5742823,-48.5357949,94,
2521698,-27.5744107,-48.5361495,95,
2521698,-27.574852,-48.5370058,96,
2521698,-27.574879,-48.5370591,97,
2521698,-27.5749345,-48.5371686,98,
2521698,-27.5750794,-48.5374398,99,
2521698,-27.5752242,-48.5377108,100,
2521698,-27.5753151,-48.5379949,101,
2521698,-27.5753365,-48.5381691,102,
2521698,-27.5753318,-48.5382551,103,
2521698,-27.575309,-48.5383821,104,
2521698,-27.575244,-48.5386221,105,
2521698,-27.5751856,-48.5387982,106,
2521698,-27.5751283,-48.5389774,107,
2521698,-27.5751145,-48.5391061,108,
2521698,-27.5751133,-48.5392664,109,
2521698,-27.5751292,-48.5394032,110,
2521698,-27.5751829,-48.5395738,111,
2521698,-27.5752367,-48.5397206,112,
2521698,-27.57539,-48.540139,113,
2521698,-27.5754264,-48.5402383,114,
2521698,-27.5754673,-48.5403428,115,
2521698,-27.5756743,-48.5409056,116,
2521698,-27.5756991,-48.540988,117,
2521698,-27.5758633,-48.5414651,118,
2521698,-27.5759466,-48.5416537,119,
2521698,-27.5760099,-48.5417788,120,
2521698,-27.5760625,-48.5418825,121,
2521698,-27.5761412,-48.5420049,122,
2521698,-27.5761412,-48.5420049,123,
2521698,-27.5764482,-48.5423136,124,
2521698,-27.5765105,-48.5423376,125,
2521698,-27.5768531,-48.5424693,126,
2521698,-27.5770857,-48.5425475,127,
2521698,-27.577364,-48.5426248,128,
2521698,-27.5776283,-48.5426912,129,
2521698,-27.5785472,-48.5429245,130,
2521698,-27.5790179,-48.543044,131,
2521698,-27.5793286,-48.5431229,132,
2521698,-27.579642,-48.5432025,133,
2521698,-27.57971,-48.5432177,134,
2521698,-27.5799399,-48.5432692,135,
2521698,-27.5802537,-48.5433435,136,
2521698,-27.5808323,-48.5434471,137,
2521698,-27.5816221,-48.543628,138,
2521698,-27.5820412,-48.5437235,139,
2521698,-27.5826003,-48.5435917,140,
2521698,-27.5826003,-48.5435917,141,
2521698,-27.5830332,-48.5435048,142,
2521698,-27.5830332,-48.5435048,143,
2521698,-27.5831601,-48.5435772,144,
2521698,-27.5832254,-48.5436452,145,
2521698,-27.5839105,-48.5446204,146,
2521698,-27.5839105,-48.5446204,147,
2521698,-27.5839511,-48.5446751,148,
2521698,-27.5839511,-48.5446751,149,
2521698,-27.5840296,-48.5446168,150,
2521698,-27.5848482,-48.5439971,151,
2521698,-27.5849463,-48.5439265,152,
2521698,-27.5850368,-48.5438846,153,
2521698,-27.5851993,-48.5438201,154,
2521698,-27.5852921,-48.5437903,155,
2521698,-27.5856422,-48.5436778,156,
2521698,-27.5867909,-48.5432486,157,
2521698,-27.5869821,-48.5432029,158,
2521698,-27.5870753,-48.5431775,159,
2521698,-27.5872209,-48.5431343,160,
2521698,-27.5874071,-48.5431092,161,
2521698,-27.5882653,-48.5430885,162,
2521698,-27.5900139,-48.5430676,163,
2521698,-27.5900821,-48.5430763,164,
2521698,-27.5901483,-48.5430848,165,
2521698,-27.5906174,-48.5431371,166,
2521698,-27.5913401,-48.5431971,167,
2521698,-27.5919605,-48.5432489,168,
2521698,-27.5920366,-48.5432553,169,
2521698,-27.5920837,-48.5432578,170,
2521698,-27.5921406,-48.5432608,171,
2521698,-27.5922333,-48.5432688,172,
2521698,-27.5923839,-48.5432827,173,
2521698,-27.5929569,-48.5433355,174,
2521698,-27.5930363,-48.5433428,175,
2521698,-27.5930363,-48.5433428,176,
2521698,-27.5931057,-48.5433491,177,
2521698,-27.5940648,-48.5434363,178,
2521698,-27.5942422,-48.5434536,179,
2521698,-27.5952716,-48.5435446,180,
2521698,-27.5955161,-48.5435662,181,
2521698,-27.5955693,-48.5435871,182,
2521698,-27.5963313,-48.5438866,183,
2521698,-27.5964922,-48.543961,184,
2521698,-27.5967378,-48.5440601,185,
2521698,-27.5978431,-48.5445879,186,
2521698,-27.5981748,-48.5447403,187,
2521698,-27.5982639,-48.5447813,188,
2521698,-27.5985367,-48.5448886,189,
2521698,-27.5986397,-48.5449318,190,
2521698,-27.598711,-48.5449576,191,
2521698,-27.5991859,-48.5451268,192,
2521698,-27.5998159,-48.5454483,193,
2521698,-27.6009896,-48.5460039,194,
2521698,-27.6009896,-48.5460039,195,
2521698,-27.6011027,-48.5460408,196,
2521698,-27.601191,-48.5460551,197,
2521698,-27.6013343,-48.5460861,198,
2521698,-27.6014222,-48.5460998,199,
2521698,-27.6015302,-48.5461167,200,
2521698,-27.6016188,-48.5461258,201,
2521698,-27.6017509,-48.546138,202,
2521698,-27.6020525,-48.5461801,203,
2521698,-27.603052,-48.5461969,204,
2521698,-27.6032573,-48.5462055,205,
2521698,-27.6034475,-48.5462313,206,
2521698,-27.6035768,-48.5462656,207,
2521698,-27.6037701,-48.546323,208,
2521698,-27.6037701,-48.546323,209,
2521698,-27.6038135,-48.5463385,210,
2521698,-27.6039169,-48.5463882,211,
2521698,-27.6043709,-48.5466385,212,
2521698,-27.6046539,-48.5467887,213,
2521698,-27.6046539,-48.5467887,214,
2521698,-27.6046967,-48.5468967,215,
2521698,-27.6047212,-48.5470112,216,
2521698,-27.6047206,-48.547116,217,
2521698,-27.6046992,-48.5472725,218,
2521698,-27.6046992,-48.5472725,219,
2521698,-27.6045766,-48.5475201,220,
2521698,-27.6045011,-48.5476252,221,
2521698,-27.6044012,-48.5477373,222,
2521698,-27.6042315,-48.5479208,223,
2521698,-27.604,-48.5481712,224,
2521698,-27.6038936,-48.548286,225,
2521698,-27.6038936,-48.548286,226,
2521698,-27.602529,-48.5497802,227,
2521698,-27.6023754,-48.5499525,228,
2521698,-27.6022355,-48.550107,229,
2521698,-27.6020679,-48.5503007,230,
2521698,-27.6019929,-48.5503918,231,
