trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
32943,05:18:00,05:18:00,2177867806,0,,,,,
32943,,,872980957,1,,,,,
32943,,,1639803069,2,,,,,
32943,,,1457087092,3,,,,,
32943,,,1457087104,4,,,,,
32943,,,1457087089,5,,,,,
32943,,,1457087094,6,,,,,
32943,,,1457087114,7,,,,,
32943,,,1649117787,8,,,,,
32943,,,1459256369,9,,,,,
32943,,,1457087074,10,,,,,
32943,,,1457087122,11,,,,,
32943,,,1459256372,12,,,,,
32943,,,1457087066,13,,,,,
32943,,,1459256365,14,,,,,
32943,,,1457087118,15,,,,,
32943,,,1450589838,16,,,,,
32943,,,1473023940,17,,,,,
32943,05:43:00,05:43:00,1432752479,18,,,,,
32944,05:52:00,05:52:00,2177867806,0,,,,,
32944,,,872980957,1,,,,,
32944,,,1639803069,2,,,,,
32944,,,1457087092,3,,,,,
32944,,,1457087104,4,,,,,
32944,,,1457087089,5,,,,,
32944,,,1457087094,6,,,,,
32944,,,1457087114,7,,,,,
32944,,,1649117787,8,,,,,
32944,,,1459256369,9,,,,,
32944,,,1457087074,10,,,,,
32944,,,1457087122,11,,,,,
32944,,,1459256372,12,,,,,
32944,,,1457087066,13,,,,,
32944,,,1459256365,14,,,,,
32944,,,1457087118,15,,,,,
32944,,,1450589838,16,,,,,
32944,,,1473023940,17,,,,,
32944,06:17:00,06:17:00,1432752479,18,,,,,
32945,06:08:00,06:08:00,2177867806,0,,,,,
32945,,,872980957,1,,,,,
32945,,,1639803069,2,,,,,
32945,,,1457087092,3,,,,,
32945,,,1457087104,4,,,,,
32945,,,1457087089,5,,,,,
32945,,,1457087094,6,,,,,
32945,,,1457087114,7,,,,,
32945,,,1649117787,8,,,,,
32945,,,1459256369,9,,,,,
32945,,,1457087074,10,,,,,
32945,,,1457087122,11,,,,,
32945,,,1459256372,12,,,,,
32945,,,1457087066,13,,,,,
32945,,,1459256365,14,,,,,
32945,,,1457087118,15,,,,,
32945,,,1450589838,16,,,,,
32945,,,1473023940,17,,,,,
32945,06:33:00,06:33:00,1432752479,18,,,,,
32946,06:26:00,06:26:00,2177867806,0,,,,,
32946,,,872980957,1,,,,,
32946,,,1639803069,2,,,,,
32946,,,1457087092,3,,,,,
32946,,,1457087104,4,,,,,
32946,,,1457087089,5,,,,,
32946,,,1457087094,6,,,,,
32946,,,1457087114,7,,,,,
32946,,,1649117787,8,,,,,
32946,,,1459256369,9,,,,,
32946,,,1457087074,10,,,,,
32946,,,1457087122,11,,,,,
32946,,,1459256372,12,,,,,
32946,,,1457087066,13,,,,,
32946,,,1459256365,14,,,,,
32946,,,1457087118,15,,,,,
32946,,,1450589838,16,,,,,
32946,,,1473023940,17,,,,,
32946,06:51:00,06:51:00,1432752479,18,,,,,
32947,06:45:00,06:45:00,2177867806,0,,,,,
32947,,,872980957,1,,,,,
32947,,,1639803069,2,,,,,
32947,,,1457087092,3,,,,,
32947,,,1457087104,4,,,,,
32947,,,1457087089,5,,,,,
32947,,,1457087094,6,,,,,
32947,,,1457087114,7,,,,,
32947,,,1649117787,8,,,,,
32947,,,1459256369,9,,,,,
32947,,,1457087074,10,,,,,
32947,,,1457087122,11,,,,,
32947,,,1459256372,12,,,,,
32947,,,1457087066,13,,,,,
32947,,,1459256365,14,,,,,
32947,,,1457087118,15,,,,,
32947,,,1450589838,16,,,,,
32947,,,1473023940,17,,,,,
32947,07:10:00,07:10:00,1432752479,18,,,,,
32948,07:01:00,07:01:00,2177867806,0,,,,,
32948,,,872980957,1,,,,,
32948,,,1639803069,2,,,,,
32948,,,1457087092,3,,,,,
32948,,,1457087104,4,,,,,
32948,,,1457087089,5,,,,,
32948,,,1457087094,6,,,,,
32948,,,1457087114,7,,,,,
32948,,,1649117787,8,,,,,
32948,,,1459256369,9,,,,,
32948,,,1457087074,10,,,,,
32948,,,1457087122,11,,,,,
32948,,,1459256372,12,,,,,
32948,,,1457087066,13,,,,,
32948,,,1459256365,14,,,,,
32948,,,1457087118,15,,,,,
32948,,,1450589838,16,,,,,
32948,,,1473023940,17,,,,,
32948,07:26:00,07:26:00,1432752479,18,,,,,
32949,07:20:00,07:20:00,2177867806,0,,,,,
32949,,,872980957,1,,,,,
32949,,,1639803069,2,,,,,
32949,,,1457087092,3,,,,,
32949,,,1457087104,4,,,,,
32949,,,1457087089,5,,,,,
32949,,,1457087094,6,,,,,
32949,,,1457087114,7,,,,,
32949,,,1649117787,8,,,,,
32949,,,1459256369,9,,,,,
32949,,,1457087074,10,,,,,
32949,,,1457087122,11,,,,,
32949,,,1459256372,12,,,,,
32949,,,1457087066,13,,,,,
32949,,,1459256365,14,,,,,
32949,,,1457087118,15,,,,,
32949,,,1450589838,16,,,,,
32949,,,1473023940,17,,,,,
32949,07:45:00,07:45:00,1432752479,18,,,,,
32950,07:37:00,07:37:00,2177867806,0,,,,,
32950,,,872980957,1,,,,,
32950,,,1639803069,2,,,,,
32950,,,1457087092,3,,,,,
32950,,,1457087104,4,,,,,
32950,,,1457087089,5,,,,,
32950,,,1457087094,6,,,,,
32950,,,1457087114,7,,,,,
32950,,,1649117787,8,,,,,
32950,,,1459256369,9,,,,,
32950,,,1457087074,10,,,,,
32950,,,1457087122,11,,,,,
32950,,,1459256372,12,,,,,
32950,,,1457087066,13,,,,,
32950,,,1459256365,14,,,,,
32950,,,1457087118,15,,,,,
32950,,,1450589838,16,,,,,
32950,,,1473023940,17,,,,,
32950,08:02:00,08:02:00,1432752479,18,,,,,
32951,07:54:00,07:54:00,2177867806,0,,,,,
32951,,,872980957,1,,,,,
32951,,,1639803069,2,,,,,
32951,,,1457087092,3,,,,,
32951,,,1457087104,4,,,,,
32951,,,1457087089,5,,,,,
32951,,,1457087094,6,,,,,
32951,,,1457087114,7,,,,,
32951,,,1649117787,8,,,,,
32951,,,1459256369,9,,,,,
32951,,,1457087074,10,,,,,
32951,,,1457087122,11,,,,,
32951,,,1459256372,12,,,,,
32951,,,1457087066,13,,,,,
32951,,,1459256365,14,,,,,
32951,,,1457087118,15,,,,,
32951,,,1450589838,16,,,,,
32951,,,1473023940,17,,,,,
32951,08:19:00,08:19:00,1432752479,18,,,,,
32952,08:10:00,08:10:00,2177867806,0,,,,,
32952,,,872980957,1,,,,,
32952,,,1639803069,2,,,,,
32952,,,1457087092,3,,,,,
32952,,,1457087104,4,,,,,
32952,,,1457087089,5,,,,,
32952,,,1457087094,6,,,,,
32952,,,1457087114,7,,,,,
32952,,,1649117787,8,,,,,
32952,,,1459256369,9,,,,,
32952,,,1457087074,10,,,,,
32952,,,1457087122,11,,,,,
32952,,,1459256372,12,,,,,
32952,,,1457087066,13,,,,,
32952,,,1459256365,14,,,,,
32952,,,1457087118,15,,,,,
32952,,,1450589838,16,,,,,
32952,,,1473023940,17,,,,,
32952,08:35:00,08:35:00,1432752479,18,,,,,
32953,08:26:00,08:26:00,2177867806,0,,,,,
32953,,,872980957,1,,,,,
32953,,,1639803069,2,,,,,
32953,,,1457087092,3,,,,,
32953,,,1457087104,4,,,,,
32953,,,1457087089,5,,,,,
32953,,,1457087094,6,,,,,
32953,,,1457087114,7,,,,,
32953,,,1649117787,8,,,,,
32953,,,1459256369,9,,,,,
32953,,,1457087074,10,,,,,
32953,,,1457087122,11,,,,,
32953,,,1459256372,12,,,,,
32953,,,1457087066,13,,,,,
32953,,,1459256365,14,,,,,
32953,,,1457087118,15,,,,,
32953,,,1450589838,16,,,,,
32953,,,1473023940,17,,,,,
32953,08:51:00,08:51:00,1432752479,18,,,,,
32954,08:43:00,08:43:00,2177867806,0,,,,,
32954,,,872980957,1,,,,,
